日期和時間,當下車速(公里/小時),未來車速(公里/小時)
970208 0610,90.3544,91.5524
970208 0615,91.5524,91.4286
970208 0620,91.4286,92.3267
970208 0625,92.3267,90.7907
970208 0630,90.7907,93.3902
970208 0635,93.3902,91.6117
970208 0640,91.6117,92.9661
970208 0645,92.9661,92.4252
970208 0650,92.4252,92.4252
970208 0655,92.4252,94.6555
970208 0700,94.6555,94.4561
970208 0705,94.4561,93.7009
970208 0710,93.7009,94.2846
970208 0715,94.2846,92.9538
970208 0720,92.9538,94.4028
970208 0725,94.4028,95.4435
970208 0730,95.4435,95.4435
970208 0735,95.4435,96.5105
970208 0740,96.5105,95.4806
970208 0745,95.4806,96.4493
970208 0750,96.4493,96.4493
970208 0755,96.4493,95.8511
970208 0800,95.8511,95.5102
970208 0805,95.5102,92.5294
970208 0810,92.5294,96.0352
970208 0815,96.0352,95.2388
970208 0820,95.2388,93.9641
970208 0825,93.9641,94.6012
970208 0830,94.6012,94.8205
970208 0835,94.8205,95.3871
970208 0840,95.3871,93.4309
970208 0845,93.4309,90.8066
970208 0850,90.8066,90.8066
970208 0855,90.8066,92.3642
970208 0900,92.3642,90.9227
970208 0905,90.9227,91.9544
970208 0910,91.9544,92.6026
970208 0915,92.6026,91.9507
970208 0920,91.9507,91.8438
970208 0925,91.8438,90.7604
970208 0930,90.7604,90.5147
970208 0935,90.5147,87.9099
970208 0940,87.9099,90.2014
970208 0945,90.2014,90.1671
970208 0950,90.1671,90.1671
970208 0955,90.1671,89.0907
970208 1000,89.0907,87.0935
970208 1005,87.0935,85.986
970208 1010,85.986,87.3431
970208 1015,87.3431,88.0814
970208 1020,88.0814,83.9404
970208 1025,83.9404,85.0909
970208 1030,85.0909,82.3617
970208 1035,82.3617,83.0294
970208 1040,83.0294,80.6964
970208 1045,80.6964,82.5155
970208 1050,82.5155,82.5155
970208 1055,82.5155,77.3214
970208 1100,77.3214,80.9309
970208 1105,80.9309,81.1889
970208 1110,81.1889,79.4714
970208 1115,79.4714,78.0773
970208 1120,78.0773,75.8477
970208 1125,75.8477,80.4152
970208 1130,80.4152,75.3057
970208 1135,75.3057,75.6115
970208 1140,75.6115,80.0931
970208 1145,80.0931,83.1538
970208 1150,83.1538,83.1538
970208 1155,83.1538,76.1113
970208 1200,76.1113,82.8814
970208 1205,82.8814,82.8693
970208 1210,82.8693,84.2115
970208 1215,84.2115,85.3426
970208 1220,85.3426,79.6577
970208 1225,79.6577,89.4697
970208 1230,89.4697,78.8939
970208 1235,78.8939,83.9931
970208 1240,83.9931,87.3237
970208 1245,87.3237,85.354
970208 1250,85.354,85.354
970208 1255,85.354,83.8792
970208 1300,83.8792,76.5486
970208 1305,76.5486,89.0826
970208 1310,89.0826,88.5956
970208 1315,88.5956,87.548
970208 1320,87.548,87.7251
970208 1325,87.7251,86.4377
970208 1330,86.4377,81.3825
970208 1335,81.3825,83.7673
970208 1340,83.7673,86.4113
970208 1345,86.4113,86.9205
970208 1350,86.9205,86.9205
970208 1355,86.9205,89.6556
970208 1400,89.6556,86.4795
970208 1405,86.4795,80.7377
970208 1410,80.7377,83.539
970208 1415,83.539,81.998
970208 1420,81.998,79.8827
970208 1425,79.8827,79.0174
970208 1430,79.0174,78.4754
970208 1435,78.4754,78.3507
970208 1440,78.3507,81.1286
970208 1445,81.1286,77.9761
970208 1450,77.9761,77.9761
970208 1455,77.9761,79.067
970208 1500,79.067,77.1268
970208 1505,77.1268,75.1047
970208 1510,75.1047,79.0087
970208 1515,79.0087,75.162
970208 1520,75.162,79.7384
970208 1525,79.7384,77.3659
970208 1530,77.3659,75.9658
970208 1535,75.9658,78.8936
970208 1540,78.8936,78.7223
970208 1545,78.7223,73.4313
970208 1550,73.4313,73.4313
970208 1555,73.4313,78.3053
970208 1600,78.3053,79.329
970208 1605,79.329,79.5078
970208 1610,79.5078,72.9891
970208 1615,72.9891,76.9374
970208 1620,76.9374,78.9265
970208 1625,78.9265,77.5376
970208 1630,77.5376,76.08
970208 1635,76.08,76.1095
970208 1640,76.1095,77.4103
970208 1645,77.4103,78.5727
970208 1650,78.5727,78.5727
970208 1655,78.5727,76.8936
970208 1700,76.8936,78.6652
970208 1705,78.6652,80.9408
970208 1710,80.9408,78.6395
970208 1715,78.6395,75.64
970208 1720,75.64,76.2188
970208 1725,76.2188,76.4202
970208 1730,76.4202,77.5669
970208 1735,77.5669,78.3632
970208 1740,78.3632,77.4009
970208 1745,77.4009,73.9732
970208 1750,73.9732,73.9732
970208 1755,73.9732,75.7511
970208 1800,75.7511,75.708
970208 1805,75.708,76.1487
970208 1810,76.1487,75.0925
970208 1815,75.0925,78.4107
970208 1820,78.4107,75.9842
970208 1825,75.9842,76.7157
970208 1830,76.7157,71.4108
970208 1835,71.4108,78.7798
970208 1840,78.7798,78.9925
970208 1845,78.9925,79.6208
970208 1850,79.6208,79.6208
970208 1855,79.6208,80.4142
970208 1900,80.4142,77.577
970208 1905,77.577,80.1462
970208 1910,80.1462,71.0338
970208 1915,71.0338,76.2746
970208 1920,76.2746,74.9819
970208 1925,74.9819,77.9612
970208 1930,77.9612,79.0188
970208 1935,79.0188,77.4732
970208 1940,77.4732,77.5764
970208 1945,77.5764,76.7415
970208 1950,76.7415,76.7415
970208 1955,76.7415,73.1729
970208 2000,73.1729,76.2148
970208 2005,76.2148,74.414
970208 2010,74.414,73.3258
970208 2015,73.3258,73.286
970208 2020,73.286,69.4675
970208 2025,69.4675,69.7446
970208 2030,69.7446,73.3011
970208 2035,73.3011,74.676
970208 2040,74.676,73.7773
970208 2045,73.7773,69.7709
970208 2050,69.7709,69.7709
970208 2055,69.7709,76.5758
970208 2100,76.5758,74.1708
970208 2105,74.1708,71.8822
970208 2110,71.8822,74.7311
970208 2115,74.7311,79.6732
970208 2120,79.6732,77.0628
970208 2125,77.0628,74.4632
970208 2130,74.4632,74.9561
970208 2135,74.9561,71.9537
970208 2140,71.9537,68.6815
970208 2145,68.6815,70.2959
970208 2150,70.2959,70.2959
970208 2155,70.2959,69.5692
970208 2200,69.5692,73.3491
970208 2205,73.3491,76.2656
970208 2210,76.2656,75.6578
970208 2215,75.6578,78.2532
970208 2220,78.2532,74.4713
970208 2225,74.4713,73.8048
970208 2230,73.8048,77.0458
970208 2235,77.0458,71.9604
970208 2240,71.9604,75.8738
970208 2245,75.8738,76.0495
970208 2250,76.0495,76.0495
970208 2255,76.0495,73.3672
970208 2300,73.3672,78.9243
970208 2305,78.9243,81.673
970208 2310,81.673,80.2308
970208 2315,80.2308,77.9279
970208 2320,77.9279,79.3801
970208 2325,79.3801,75.5943
970208 2330,75.5943,76.5707
970208 2335,76.5707,78.9146
970208 2340,78.9146,80.7666
970208 2345,80.7666,80.9025
970208 2350,80.9025,80.9025
970208 2355,80.9025,80.7925
970209 0000,80.7925,86.2466
970209 0005,86.2466,78.3782
970209 0010,78.3782,88.5
970209 0015,88.5,90.7078
970209 0020,90.7078,86.8381
970209 0025,86.8381,84.1672
970209 0030,84.1672,87.3191
970209 0035,87.3191,87.0414
970209 0040,87.0414,87.0778
970209 0045,87.0778,88.5867
970209 0050,88.5867,88.5867
970209 0055,88.5867,86.7885
970209 0100,86.7885,92.018
970209 0105,92.018,89.2935
970209 0110,89.2935,90.9779
970209 0115,90.9779,90.4731
970209 0120,90.4731,89.9213
970209 0125,89.9213,90.5224
970209 0130,90.5224,91.85
970209 0135,91.85,90.7837
970209 0140,90.7837,88.4511
970209 0145,88.4511,88.8796
970209 0150,88.8796,88.8796
970209 0155,88.8796,89.4196
970209 0200,89.4196,90.5368
970209 0205,90.5368,90.7459
970209 0210,90.7459,92.3259
970209 0215,92.3259,88.7688
970209 0220,88.7688,90.6069
970209 0225,90.6069,91.8108
970209 0230,91.8108,91.3758
970209 0235,91.3758,88.732
970209 0240,88.732,90.3718
970209 0245,90.3718,94.482
970209 0250,94.482,94.482
970209 0255,94.482,91.6767
970209 0300,91.6767,92.6055
970209 0305,92.6055,92.0893
970209 0310,92.0893,91.6357
970209 0315,91.6357,91.5385
970209 0320,91.5385,91.9661
970209 0325,91.9661,89.1961
970209 0330,89.1961,90.9839
970209 0335,90.9839,93.4731
970209 0340,93.4731,91.6602
970209 0345,91.6602,91.2366
970209 0350,91.2366,91.2366
970209 0355,91.2366,90.747
970209 0400,90.747,93.1809
970209 0405,93.1809,92.1935
970209 0410,92.1935,90.9296
970209 0415,90.9296,92.6222
970209 0420,92.6222,90.9891
970209 0425,90.9891,92.4483
970209 0430,92.4483,92.1646
970209 0435,92.1646,89.8906
970209 0440,89.8906,89.0156
970209 0445,89.0156,91.36
970209 0450,91.36,91.36
970209 0455,91.36,93.5
970209 0500,93.5,91.419
970209 0505,91.419,91.5231
970209 0510,91.5231,91.7385
970209 0515,91.7385,87.9048
970209 0520,87.9048,90.4811
970209 0525,90.4811,88.5506
970209 0530,88.5506,90.9286
970209 0535,90.9286,91.2277
970209 0540,91.2277,91.8617
970209 0545,91.8617,92.2551
970209 0550,92.2551,92.2551
970209 0555,92.2551,90.5402
970209 0600,90.5402,88.0617
970209 0605,88.0617,88.5143
970209 0610,88.5143,90.5579
970209 0615,90.5579,90.5545
970209 0620,90.5545,90.1057
970209 0625,90.1057,90.8909
970209 0630,90.8909,88.9416
970209 0635,88.9416,91.9048
970209 0640,91.9048,91.0074
970209 0645,91.0074,93.3308
970209 0650,93.3308,93.3308
970209 0655,93.3308,91.1364
970209 0700,91.1364,86.6868
970209 0705,86.6868,91.5976
970209 0710,91.5976,93.0444
970209 0715,93.0444,92.9355
970209 0720,92.9355,91.4571
970209 0725,91.4571,92.6928
970209 0730,92.6928,92.6761
970209 0735,92.6761,93.1925
970209 0740,93.1925,91.7544
970209 0745,91.7544,92.9551
970209 0750,92.9551,92.9551
970209 0755,92.9551,94.4533
970209 0800,94.4533,91
970209 0805,91,90.25
970209 0810,90.25,90.0355
970209 0815,90.0355,89.3547
970209 0820,89.3547,90.84
970209 0825,90.84,90.1408
970209 0830,90.1408,90.875
970209 0835,90.875,90.967
970209 0840,90.967,89.89
970209 0845,89.89,90.3048
970209 0850,90.3048,90.3048
970209 0855,90.3048,86.5166
970209 0900,86.5166,83.4888
970209 0905,83.4888,90.281
970209 0910,90.281,86.2276
970209 0915,86.2276,86.8583
970209 0920,86.8583,88.4933
970209 0925,88.4933,86.8967
970209 0930,86.8967,89.5216
970209 0935,89.5216,88.4949
970209 0940,88.4949,88.7666
970209 0945,88.7666,81.4192
970209 0950,81.4192,81.4192
970209 0955,81.4192,82.4784
970209 1000,82.4784,81.8429
970209 1005,81.8429,85.634
970209 1010,85.634,79.7136
970209 1015,79.7136,75.2123
970209 1020,75.2123,81.8213
970209 1025,81.8213,77.4391
970209 1030,77.4391,78.8654
970209 1035,78.8654,76.2104
970209 1040,76.2104,78.3726
970209 1045,78.3726,72.5711
970209 1050,72.5711,72.5711
970209 1055,72.5711,78.7306
970209 1100,78.7306,74.0637
970209 1105,74.0637,80.6162
970209 1110,80.6162,75.8
970209 1115,75.8,75.7566
970209 1120,75.7566,75.1098
970209 1125,75.1098,79.3838
970209 1130,79.3838,75.3953
970209 1135,75.3953,79.9665
970209 1140,79.9665,69.9037
970209 1145,69.9037,73.9696
970209 1150,73.9696,73.9696
970209 1155,73.9696,76.7807
970209 1200,76.7807,75.1642
970209 1205,75.1642,78.234
970209 1210,78.234,74.9274
970209 1215,74.9274,83.9429
970209 1220,83.9429,74.5593
970209 1225,74.5593,80.6743
970209 1230,80.6743,83.9314
970209 1235,83.9314,85.1066
970209 1240,85.1066,79.7756
970209 1245,79.7756,76.3691
970209 1250,76.3691,76.3691
970209 1255,76.3691,81.5142
970209 1300,81.5142,75.495
970209 1305,75.495,82.6927
970209 1310,82.6927,80.5159
970209 1315,80.5159,78.6444
970209 1320,78.6444,83.4194
970209 1325,83.4194,82.3038
970209 1330,82.3038,83.4162
970209 1335,83.4162,83.2811
970209 1340,83.2811,78.0921
970209 1345,78.0921,77.3188
970209 1350,77.3188,77.3188
970209 1355,77.3188,80.834
970209 1400,80.834,79.1533
970209 1405,79.1533,78.4733
970209 1410,78.4733,80.6448
970209 1415,80.6448,77.5487
970209 1420,77.5487,79.8417
970209 1425,79.8417,80.1222
970209 1430,80.1222,76.6259
970209 1435,76.6259,78.8739
970209 1440,78.8739,80.0685
970209 1445,80.0685,82.6281
970209 1450,82.6281,82.6281
970209 1455,82.6281,78.6828
970209 1500,78.6828,79.5564
970209 1505,79.5564,71.1309
970209 1510,71.1309,77.2368
970209 1515,77.2368,74.4399
970209 1520,74.4399,77.7431
970209 1525,77.7431,74.7441
970209 1530,74.7441,73.0971
970209 1535,73.0971,68.7632
970209 1540,68.7632,70.998
970209 1545,70.998,66.9963
970209 1550,66.9963,66.9963
970209 1555,66.9963,74.8864
970209 1600,74.8864,71.7949
970209 1605,71.7949,71.3477
970209 1610,71.3477,74.7345
970209 1615,74.7345,74.6376
970209 1620,74.6376,75.7773
970209 1625,75.7773,72.6238
970209 1630,72.6238,74.3293
970209 1635,74.3293,74.8692
970209 1640,74.8692,72.9859
970209 1645,72.9859,70.3708
970209 1650,70.3708,70.3708
970209 1655,70.3708,76.0704
970209 1700,76.0704,76.6325
970209 1705,76.6325,76.9033
970209 1710,76.9033,75.334
970209 1715,75.334,76.8649
970209 1720,76.8649,76.1906
970209 1725,76.1906,73.1018
970209 1730,73.1018,73.0041
970209 1735,73.0041,78.3305
970209 1740,78.3305,72.4404
970209 1745,72.4404,69.8426
970209 1750,69.8426,69.8426
970209 1755,69.8426,68.9323
970209 1800,68.9323,67.386
970209 1805,67.386,69.2361
970209 1810,69.2361,68.0668
970209 1815,68.0668,68.568
970209 1820,68.568,67.8767
970209 1825,67.8767,65.4209
970209 1830,65.4209,69.7718
970209 1835,69.7718,65.8329
970209 1840,65.8329,66.7546
970209 1845,66.7546,44.1667
970209 1850,44.1667,44.1667
970209 1855,44.1667,71.5237
970209 1900,71.5237,70.3377
970209 1905,70.3377,71.6705
970209 1910,71.6705,70.7982
970209 1915,70.7982,74.2202
970209 1920,74.2202,69.8294
970209 1925,69.8294,73.3515
970209 1930,73.3515,70.3482
970209 1935,70.3482,66.1841
970209 1940,66.1841,74.8977
970209 1945,74.8977,71.4583
970209 1950,71.4583,71.4583
970209 1955,71.4583,69.0148
970209 2000,69.0148,70.3125
970209 2005,70.3125,67.6647
970209 2010,67.6647,69.8625
970209 2015,69.8625,71.046
970209 2020,71.046,66.3683
970209 2025,66.3683,69.3115
970209 2030,69.3115,70.1976
970209 2035,70.1976,71.6484
970209 2040,71.6484,67.33
970209 2045,67.33,64.3147
970209 2050,64.3147,64.3147
970209 2055,64.3147,67.9588
970209 2100,67.9588,71.8273
970209 2105,71.8273,70.0166
970209 2110,70.0166,67.8723
970209 2115,67.8723,66.2882
970209 2120,66.2882,69.0636
970209 2125,69.0636,71.6928
970209 2130,71.6928,69.8098
970209 2135,69.8098,64.625
970209 2140,64.625,69.8788
970209 2145,69.8788,65.4294
970209 2150,65.4294,65.4294
970209 2155,65.4294,67.194
970209 2200,67.194,68.2801
970209 2205,68.2801,72.2863
970209 2210,72.2863,72.2473
970209 2215,72.2473,68.8534
970209 2220,68.8534,71.936
970209 2225,71.936,68.0105
970209 2230,68.0105,74.2393
970209 2235,74.2393,70.511
970209 2240,70.511,68.3897
970209 2245,68.3897,68.9851
970209 2250,68.9851,68.9851
970209 2255,68.9851,64.3062
970209 2300,64.3062,65.114
970209 2305,65.114,63.7681
970209 2310,63.7681,70.0498
970209 2315,70.0498,67.5824
970209 2320,67.5824,71.3268
970209 2325,71.3268,71.3183
970209 2330,71.3183,68.4422
970209 2335,68.4422,63.8636
970209 2340,63.8636,66.3024
970209 2345,66.3024,71.6296
970209 2350,71.6296,71.6296
970209 2355,71.6296,65.9552
970210 0000,65.9552,69.8664
970210 0005,69.8664,74.0874
970210 0010,74.0874,75.5014
970210 0015,75.5014,73.2975
970210 0020,73.2975,70.6532
970210 0025,70.6532,72.7585
970210 0030,72.7585,70.7943
970210 0035,70.7943,78.2088
970210 0040,78.2088,73.1753
970210 0045,73.1753,76.0637
970210 0050,76.0637,76.0637
970210 0055,76.0637,70.2782
970210 0100,70.2782,70.9613
970210 0105,70.9613,78.2067
970210 0110,78.2067,76.2292
970210 0115,76.2292,74.8825
970210 0120,74.8825,76.5323
970210 0125,76.5323,74.6312
970210 0130,74.6312,81.9483
970210 0135,81.9483,80.2399
970210 0140,80.2399,75.8201
970210 0145,75.8201,73.625
970210 0150,73.625,73.625
970210 0155,73.625,79.436
970210 0200,79.436,79.9892
970210 0205,79.9892,83.323
970210 0210,83.323,77.5645
970210 0215,77.5645,86.1361
970210 0220,86.1361,82.3602
970210 0225,82.3602,80.6065
970210 0230,80.6065,79.861
970210 0235,79.861,72.8414
970210 0240,72.8414,76.4942
970210 0245,76.4942,76.4942
970210 0250,76.4942,79.3084
970210 0255,79.3084,78.1119
970210 0300,78.1119,86.1593
970210 0305,86.1593,83.9576
970210 0310,83.9576,82.6418
970210 0315,82.6418,85.6195
970210 0320,85.6195,82.6645
970210 0325,82.6645,85.7143
970210 0330,85.7143,83.7543
970210 0335,83.7543,81.4006
970210 0340,81.4006,87.1641
970210 0345,87.1641,86.284
970210 0350,86.284,86.284
970210 0355,86.284,84.2724
970210 0400,84.2724,85.9057
970210 0405,85.9057,88.1099
970210 0410,88.1099,85.4007
970210 0415,85.4007,81.3323
970210 0420,81.3323,87.7742
970210 0425,87.7742,86.4479
970210 0430,86.4479,81.7169
970210 0435,81.7169,87.2738
970210 0440,87.2738,86.3295
970210 0445,86.3295,85.8304
970210 0450,85.8304,85.8304
970210 0455,85.8304,86.8073
970210 0500,86.8073,87.5176
970210 0505,87.5176,87.9198
970210 0510,87.9198,86.9963
970210 0515,86.9963,85.9565
970210 0520,85.9565,86.0309
970210 0525,86.0309,87.306
970210 0530,87.306,90.8977
970210 0535,90.8977,90.3161
970210 0540,90.3161,91.0636
970210 0545,91.0636,89.4938
970210 0550,89.4938,89.4938
970210 0555,89.4938,91.9379
970210 0600,91.9379,92.1534
970210 0605,92.1534,91.716
970210 0610,91.716,89.2438
970210 0615,89.2438,90.0208
970210 0620,90.0208,93.0056
970210 0625,93.0056,91.7486
970210 0630,91.7486,90.5538
970210 0635,90.5538,93.4035
970210 0640,93.4035,93.0952
970210 0645,93.0952,93.4299
970210 0650,93.4299,93.4299
970210 0655,93.4299,89.7463
970210 0700,89.7463,94.5936
970210 0705,94.5936,92.1067
970210 0710,92.1067,92.5392
970210 0715,92.5392,91.9036
970210 0720,91.9036,93.3565
970210 0725,93.3565,94.3064
970210 0730,94.3064,92.0943
970210 0735,92.0943,91.8952
970210 0740,91.8952,92.5352
970210 0745,92.5352,93.311
970210 0750,93.311,93.311
970210 0755,93.311,93.2584
970210 0800,93.2584,92.9955
970210 0805,92.9955,92.97
970210 0810,92.97,93.7416
970210 0815,93.7416,91.1923
970210 0820,91.1923,90.8308
970210 0825,90.8308,92.0205
970210 0830,92.0205,94.434
970210 0835,94.434,93.6164
970210 0840,93.6164,90.0265
970210 0845,90.0265,90.5104
970210 0850,90.5104,90.5104
970210 0855,90.5104,91.5231
970210 0900,91.5231,91.4618
970210 0905,91.4618,92.6353
970210 0910,92.6353,89.7181
970210 0915,89.7181,91.7738
970210 0920,91.7738,91.2201
970210 0925,91.2201,92.9802
970210 0930,92.9802,83.4854
970210 0935,83.4854,91.0414
970210 0940,91.0414,90.1081
970210 0945,90.1081,88.3194
970210 0950,88.3194,88.3194
970210 0955,88.3194,89.7713
970210 1000,89.7713,86.4093
970210 1005,86.4093,86.5627
970210 1010,86.5627,87.1291
970210 1015,87.1291,86.7483
970210 1020,86.7483,87.6493
970210 1025,87.6493,84.843
970210 1030,84.843,84.7149
970210 1035,84.7149,83.5171
970210 1040,83.5171,86.4834
970210 1045,86.4834,82.2143
970210 1050,82.2143,82.2143
970210 1055,82.2143,82.9367
970210 1100,82.9367,84.3808
970210 1105,84.3808,78.7782
970210 1110,78.7782,79.4965
970210 1115,79.4965,78.6304
970210 1120,78.6304,81.9213
970210 1125,81.9213,83.0036
970210 1130,83.0036,80.7858
970210 1135,80.7858,82.3927
970210 1140,82.3927,82.2874
970210 1145,82.2874,85.184
970210 1150,85.184,85.184
970210 1155,85.184,83.5714
970210 1200,83.5714,83.7298
970210 1205,83.7298,87.7433
970210 1210,87.7433,87.0405
970210 1215,87.0405,81.9545
970210 1220,81.9545,83.5963
970210 1225,83.5963,85.9271
970210 1230,85.9271,77.2688
970210 1235,77.2688,86.0229
970210 1240,86.0229,86.9101
970210 1245,86.9101,80.6038
970210 1250,80.6038,80.6038
970210 1255,80.6038,88.2719
970210 1300,88.2719,85.7038
970210 1305,85.7038,82.9774
970210 1310,82.9774,84.1659
970210 1315,84.1659,82.8208
970210 1320,82.8208,82.5166
970210 1325,82.5166,82.2878
970210 1330,82.2878,81.8293
970210 1335,81.8293,81.7841
970210 1340,81.7841,79.9595
970210 1345,79.9595,80.4948
970210 1350,80.4948,80.4948
970210 1355,80.4948,77.4449
970210 1400,77.4449,74.9714
970210 1405,74.9714,77.1992
970210 1410,77.1992,75.1536
970210 1415,75.1536,70.4832
970210 1420,70.4832,73.0019
970210 1425,73.0019,73.7228
970210 1430,73.7228,70.0018
970210 1435,70.0018,70.6763
970210 1440,70.6763,74.237
970210 1445,74.237,76.8618
970210 1450,76.8618,76.8618
970210 1455,76.8618,73.952
970210 1500,73.952,72.7281
970210 1505,72.7281,79.0579
970210 1510,79.0579,72.2091
970210 1515,72.2091,69.5047
970210 1520,69.5047,72.1877
970210 1525,72.1877,74.2254
970210 1530,74.2254,87.642
970210 1535,87.642,73.9573
970210 1540,73.9573,65.9666
970210 1545,65.9666,64.3107
970210 1550,64.3107,64.3107
970210 1555,64.3107,60.9981
970210 1600,60.9981,61.7385
970210 1605,61.7385,60.0637
970210 1610,60.0637,65.6478
970210 1615,65.6478,69.3503
970210 1620,69.3503,65.9803
970210 1625,65.9803,68.6296
970210 1630,68.6296,70.2192
970210 1635,70.2192,66.8931
970210 1640,66.8931,69.1692
970210 1645,69.1692,75.5925
970210 1650,75.5925,75.5925
970210 1655,75.5925,75.5144
970210 1700,75.5144,73.4508
970210 1705,73.4508,71.2332
970210 1710,71.2332,73.7797
970210 1715,73.7797,74.9413
970210 1720,74.9413,72.8594
970210 1725,72.8594,71.6588
970210 1730,71.6588,67.9004
970210 1735,67.9004,65.9084
970210 1740,65.9084,66.3353
970210 1745,66.3353,68.8816
970210 1750,68.8816,68.8816
970210 1755,68.8816,71.0269
970210 1800,71.0269,67.6275
970210 1805,67.6275,70.0866
970210 1810,70.0866,66.9414
970210 1815,66.9414,68.9839
970210 1820,68.9839,70.1434
970210 1825,70.1434,68.169
970210 1830,68.169,70.2372
970210 1835,70.2372,68.7177
970210 1840,68.7177,66.1125
970210 1845,66.1125,62.7626
970210 1850,62.7626,62.7626
970210 1855,62.7626,70.099
970210 1900,70.099,66.2743
970210 1905,66.2743,68.0371
970210 1910,68.0371,71.9644
970210 1915,71.9644,67.1648
970210 1920,67.1648,66.7915
970210 1925,66.7915,60.9443
970210 1930,60.9443,66.876
970210 1935,66.876,67.2326
970210 1940,67.2326,71.1564
970210 1945,71.1564,67.63
970210 1950,67.63,67.63
970210 1955,67.63,71.1824
970210 2000,71.1824,69.0959
970210 2005,69.0959,67.9434
970210 2010,67.9434,71.9853
970210 2015,71.9853,67.7264
970210 2020,67.7264,71.037
970210 2025,71.037,64.968
970210 2030,64.968,58.9776
970210 2035,58.9776,69.9378
970210 2040,69.9378,69.4742
970210 2045,69.4742,64.8257
970210 2050,64.8257,64.8257
970210 2055,64.8257,64.6043
970210 2100,64.6043,60.586
970210 2105,60.586,64.4141
970210 2110,64.4141,66.8703
970210 2115,66.8703,63.2924
970210 2120,63.2924,66.4736
970210 2125,66.4736,68.1107
970210 2130,68.1107,65.4971
970210 2135,65.4971,62.7475
970210 2140,62.7475,70.1654
970210 2145,70.1654,65.4067
970210 2150,65.4067,65.4067
970210 2155,65.4067,66.7967
970210 2200,66.7967,70.9555
970210 2205,70.9555,71.684
970210 2210,71.684,74.4612
970210 2215,74.4612,65.8802
970210 2220,65.8802,67.4403
970210 2225,67.4403,69.1172
970210 2230,69.1172,71.1701
970210 2235,71.1701,71.7817
970210 2240,71.7817,67.3525
970210 2245,67.3525,68.6164
970210 2250,68.6164,68.6164
970210 2255,68.6164,73.0454
970210 2300,73.0454,69.6198
970210 2305,69.6198,66.1101
970210 2310,66.1101,67.8053
970210 2315,67.8053,67.5972
970210 2320,67.5972,71.369
970210 2325,71.369,70.7526
970210 2330,70.7526,78.3126
970210 2335,78.3126,79.1065
970210 2340,79.1065,74.6317
970210 2345,74.6317,75.9443
970210 2350,75.9443,75.9443
970210 2355,75.9443,68.3301
970211 0000,68.3301,76.2445
970211 0005,76.2445,74.1405
970211 0010,74.1405,74.1157
970211 0015,74.1157,77.4853
970211 0020,77.4853,80.4902
970211 0025,80.4902,79.8499
970211 0030,79.8499,79.9154
970211 0035,79.9154,73.0775
970211 0040,73.0775,71.389
970211 0045,71.389,74.4903
970211 0050,74.4903,74.4903
970211 0055,74.4903,78.1933
970211 0100,78.1933,80.1231
970211 0105,80.1231,80.7025
970211 0110,80.7025,80.4
970211 0115,80.4,82.9973
970211 0120,82.9973,84.779
970211 0125,84.779,81.3096
970211 0130,81.3096,84.7229
970211 0135,84.7229,84.3401
970211 0140,84.3401,82.9133
970211 0145,82.9133,84.4131
970211 0150,84.4131,84.4131
970211 0155,84.4131,85.9525
970211 0200,85.9525,87.0094
970211 0205,87.0094,84.3716
970211 0210,84.3716,89.4205
970211 0215,89.4205,87.519
970211 0220,87.519,89.3896
970211 0225,89.3896,83.2444
970211 0230,83.2444,86.4846
970211 0235,86.4846,86.7586
970211 0240,86.7586,85.639
970211 0245,85.639,85.639
970211 0250,85.639,86.1938
970211 0255,86.1938,83.9673
970211 0300,83.9673,87.4444
970211 0305,87.4444,89.3852
970211 0310,89.3852,86.7525
970211 0315,86.7525,87.8022
970211 0320,87.8022,88.0292
970211 0325,88.0292,86.9176
970211 0330,86.9176,86.1148
970211 0335,86.1148,84.6175
970211 0340,84.6175,82.9888
970211 0345,82.9888,87.2252
970211 0350,87.2252,87.2252
970211 0355,87.2252,84.3866
970211 0400,84.3866,88.2716
970211 0405,88.2716,87.0427
970211 0410,87.0427,85.337
970211 0415,85.337,83.671
970211 0420,83.671,87.7339
970211 0425,87.7339,87.241
970211 0430,87.241,87.354
970211 0435,87.354,88.9023
970211 0440,88.9023,85.4735
970211 0445,85.4735,86.374
970211 0450,86.374,86.374
970211 0455,86.374,86.6853
970211 0500,86.6853,87.4879
970211 0505,87.4879,85.7992
970211 0510,85.7992,82.2444
970211 0515,82.2444,86.7114
970211 0520,86.7114,84.7132
970211 0525,84.7132,88.0133
970211 0530,88.0133,85.4022
970211 0535,85.4022,87.1528
970211 0540,87.1528,88.3962
970211 0545,88.3962,90.6
970211 0550,90.6,90.6
970211 0555,90.6,93.7097
970211 0600,93.7097,90.4847
970211 0605,90.4847,90.0178
970211 0610,90.0178,90.2105
970211 0615,90.2105,88.6167
970211 0620,88.6167,90.4694
970211 0625,90.4694,90.7612
970211 0630,90.7612,92.9146
970211 0635,92.9146,92.1964
970211 0640,92.1964,91.6183
970211 0645,91.6183,89.5741
970211 0650,89.5741,89.5741
970211 0655,89.5741,91.2774
970211 0700,91.2774,85.786
970211 0705,85.786,90.9603
970211 0710,90.9603,91.7721
970211 0715,91.7721,92.0573
970211 0720,92.0573,89.5112
970211 0725,89.5112,92.6224
970211 0730,92.6224,93.9363
970211 0735,93.9363,93.239
970211 0740,93.239,93.619
970211 0745,93.619,90.4784
970211 0750,90.4784,90.4784
