日期和時間,流量(車輛/小時),車速(公里/小時),密度(車輛/公里)
970210 0925,3816,91.2201,10.4582
970210 0930,3636,92.9802,9.7763
970210 0935,3708,83.4854,11.1037
970210 0940,3480,91.0414,9.5561
970210 0945,3996,90.1081,11.0867
970210 0950,4584,88.3194,12.9756
970210 0955,4584,88.3194,12.9756
970210 1000,4512,89.7713,12.5653
970210 1005,4632,86.4093,13.4013
970210 1010,4884,86.5627,14.1054
970210 1015,5112,87.1291,14.6679
970210 1020,5148,86.7483,14.836
970210 1025,5064,87.6493,14.4439
970210 1030,5352,84.843,15.7703
970210 1035,5976,84.7149,17.6356
970210 1040,5964,83.5171,17.8526
970210 1045,6156,86.4834,17.7953
970210 1050,6720,82.2143,20.4344
970210 1055,6720,82.2143,20.4344
970210 1100,6444,82.9367,19.4245
970210 1105,6240,84.3808,18.4876
970210 1110,7032,78.7782,22.3158
970210 1115,6816,79.4965,21.4349
970210 1120,7272,78.6304,23.1208
970210 1125,7164,81.9213,21.8625
970210 1130,6732,83.0036,20.2762
970210 1135,7284,80.7858,22.5411
970210 1140,6936,82.3927,21.0455
970210 1145,6012,82.2874,18.2652
970210 1150,6588,85.184,19.3346
970210 1155,6588,85.184,19.3346
970210 1200,6552,83.5714,19.6
970210 1205,6396,83.7298,19.0971
970210 1210,5796,87.7433,16.5141
970210 1215,5328,87.0405,15.3032
970210 1220,5280,81.9545,16.1065
970210 1225,4548,83.5963,13.6011
970210 1230,5268,85.9271,15.3269
970210 1235,6696,77.2688,21.6646
970210 1240,5772,86.0229,16.7746
970210 1245,5340,86.9101,15.3607
970210 1250,5724,80.6038,17.7535
970210 1255,5724,80.6038,17.7535
970210 1300,5076,88.2719,14.376
970210 1305,5388,85.7038,15.7169
970210 1310,5316,82.9774,16.0164
970210 1315,5280,84.1659,15.6833
970210 1320,5088,82.8208,15.3585
970210 1325,5412,82.5166,16.3967
970210 1330,5796,82.2878,17.6089
970210 1335,5976,81.8293,18.2575
970210 1340,5892,81.7841,18.0108
970210 1345,5628,79.9595,17.5964
970210 1350,5820,80.4948,18.0757
970210 1355,5820,80.4948,18.0757
970210 1400,6528,77.4449,21.0731
970210 1405,6288,74.9714,20.968
970210 1410,6204,77.1992,20.0909
970210 1415,6564,75.1536,21.8353
970210 1420,6780,70.4832,24.0483
970210 1425,6408,73.0019,21.9446
970210 1430,6276,73.7228,21.2824
970210 1435,6852,70.0018,24.4708
970210 1440,7044,70.6763,24.9164
970210 1445,6480,74.237,21.822
970210 1450,6600,76.8618,21.4671
970210 1455,6600,76.8618,21.4671
970210 1500,6252,73.952,21.1353
970210 1505,6708,72.7281,23.0585
970210 1510,6012,79.0579,19.0114
970210 1515,6600,72.2091,22.8503
970210 1520,6420,69.5047,23.092
970210 1525,6648,72.1877,23.0233
970210 1530,6336,74.2254,21.3404
970210 1535,2916,87.642,8.3179
970210 1540,6180,73.9573,20.8904
970210 1545,6828,65.9666,25.8767
970210 1550,6720,64.3107,26.1232
970210 1555,6720,64.3107,26.1232
970210 1600,6444,60.9981,26.4106
970210 1605,6792,61.7385,27.5031
970210 1610,6780,60.0637,28.22
970210 1615,6780,65.6478,25.8196
970210 1620,6612,69.3503,23.8355
970210 1625,6696,65.9803,25.3712
970210 1630,6576,68.6296,23.9547
970210 1635,5748,70.2192,20.4645
970210 1640,6960,66.8931,26.0117
970210 1645,7092,69.1692,25.6328
970210 1650,6420,75.5925,21.2323
970210 1655,6420,75.5925,21.2323
970210 1700,6672,75.5144,22.0885
970210 1705,6708,73.4508,22.8316
970210 1710,6432,71.2332,22.5737
970210 1715,6264,73.7797,21.2254
970210 1720,6132,74.9413,20.456
970210 1725,6828,72.8594,23.4287
970210 1730,6612,71.6588,23.0676
970210 1735,6264,67.9004,23.0632
970210 1740,6156,65.9084,23.3506
970210 1745,6192,66.3353,23.336
970210 1750,6588,68.8816,23.9106
970210 1755,6588,68.8816,23.9106
970210 1800,6240,71.0269,21.9635
970210 1805,6024,67.6275,22.2691
970210 1810,6096,70.0866,21.7445
970210 1815,5532,66.9414,20.6599
970210 1820,5952,68.9839,21.5703
970210 1825,5940,70.1434,21.1709
970210 1830,5892,68.169,21.608
970210 1835,5616,70.2372,19.9894
970210 1840,5484,68.7177,19.9512
970210 1845,5760,66.1125,21.7811
970210 1850,5964,62.7626,23.7562
970210 1855,5964,62.7626,23.7562
970210 1900,6060,70.099,21.6123
970210 1905,5688,66.2743,21.4563
970210 1910,5820,68.0371,21.3854
970210 1915,5388,71.9644,18.7176
970210 1920,5244,67.1648,19.5192
970210 1925,5064,66.7915,18.9545
970210 1930,5820,60.9443,23.8742
970210 1935,6192,66.876,23.1473
970210 1940,5520,67.2326,20.5258
970210 1945,5676,71.1564,19.942
970210 1950,5676,67.63,20.9818
970210 1955,5676,67.63,20.9818
970210 2000,5856,71.1824,20.5669
970210 2005,5628,69.0959,20.363
970210 2010,5940,67.9434,21.8564
970210 2015,5724,71.9853,19.8791
970210 2020,5964,67.7264,22.0151
970210 2025,5844,71.037,20.5668
970210 2030,6000,64.968,23.0883
970210 2035,6432,58.9776,27.2646
970210 2040,5976,69.9378,21.3619
970210 2045,5592,69.4742,20.1226
970210 2050,5988,64.8257,23.0927
970210 2055,5988,64.8257,23.0927
970210 2100,6096,64.6043,23.5897
970210 2105,6348,60.586,26.1942
970210 2110,5940,64.4141,23.0539
970210 2115,6012,66.8703,22.4764
970210 2120,6156,63.2924,24.3157
970210 2125,6360,66.4736,23.9193
970210 2130,6288,68.1107,23.0801
970210 2135,6156,65.4971,23.4972
970210 2140,5940,62.7475,23.6663
970210 2145,6168,70.1654,21.9767
970210 2150,6492,65.4067,24.814
970210 2155,6492,65.4067,24.814
970210 2200,6552,66.7967,24.5222
970210 2205,5928,70.9555,20.8863
970210 2210,6000,71.684,20.9252
970210 2215,5724,74.4612,19.2181
970210 2220,6108,65.8802,23.1785
970210 2225,6132,67.4403,22.7312
970210 2230,6348,69.1172,22.961
970210 2235,5856,71.1701,20.5704
970210 2240,5772,71.7817,20.1026
970210 2245,6468,67.3525,24.008
970210 2250,6444,68.6164,23.4784
970210 2255,6444,68.6164,23.4784
970210 2300,5820,73.0454,19.9191
970210 2305,5808,69.6198,20.8561
970210 2310,6432,66.1101,24.3231
970210 2315,5484,67.8053,20.2197
970210 2320,6108,67.5972,22.5897
970210 2325,5952,71.369,20.8494
970210 2330,5820,70.7526,20.5646
970210 2335,5028,78.3126,16.051
970210 2340,4956,79.1065,15.6624
970210 2345,5148,74.6317,17.2447
970210 2350,4740,75.9443,15.6035
970210 2355,4740,75.9443,15.6035
970211 0000,4908,68.3301,17.957
970211 0005,5496,76.2445,18.021
970211 0010,5808,74.1405,19.5844
970211 0015,5496,74.1157,18.5386
970211 0020,5292,77.4853,17.0742
970211 0025,4896,80.4902,15.2068
970211 0030,4716,79.8499,14.7652
970211 0035,4680,79.9154,14.6405
970211 0040,4644,73.0775,15.8872
970211 0045,4812,71.389,16.8513
970211 0050,5556,74.4903,18.6467
970211 0055,5556,74.4903,18.6467
970211 0100,5028,78.1933,16.0755
970211 0105,3996,80.1231,12.4683
970211 0110,4236,80.7025,13.1223
970211 0115,4680,80.4,14.5522
970211 0120,4368,82.9973,13.1571
970211 0125,4236,84.779,12.4913
970211 0130,4884,81.3096,15.0167
970211 0135,4200,84.7229,12.3933
970211 0140,4164,84.3401,12.3429
970211 0145,4428,82.9133,13.3513
970211 0150,4212,84.4131,12.4744
970211 0155,4212,84.4131,12.4744
970211 0200,4548,85.9525,13.2282
970211 0205,3828,87.0094,10.9988
970211 0210,4908,84.3716,14.5428
970211 0215,3396,89.4205,9.4945
970211 0220,4116,87.519,11.7575
970211 0225,3696,89.3896,10.3368
970211 0230,4272,83.2444,12.8297
970211 0235,3516,86.4846,10.1637
970211 0240,3828,86.7586,11.0306
970211 0245,4188,85.639,12.2257
970211 0250,4188,85.639,12.2257
970211 0255,4272,86.1938,12.3907
970211 0300,3672,83.9673,10.9328
970211 0305,3348,87.4444,9.5718
970211 0310,3396,89.3852,9.4982
970211 0315,3588,86.7525,10.3398
970211 0320,3336,87.8022,9.4986
970211 0325,3696,88.0292,10.4965
970211 0330,3060,86.9176,8.8014
970211 0335,2928,86.1148,8.5003
970211 0340,3420,84.6175,10.1043
970211 0345,3204,82.9888,9.6519
970211 0350,2664,87.2252,7.6354
970211 0355,2664,87.2252,7.6354
970211 0400,2856,84.3866,8.4611
970211 0405,2784,88.2716,7.8848
970211 0410,2808,87.0427,8.065
970211 0415,3240,85.337,9.4918
970211 0420,2772,83.671,8.2824
970211 0425,2796,87.7339,7.9673
970211 0430,2988,87.241,8.5625
970211 0435,2712,87.354,7.7615
970211 0440,2580,88.9023,7.2552
970211 0445,2712,85.4735,7.9323
970211 0450,3144,86.374,9.1
970211 0455,3144,86.374,9.1
970211 0500,2784,86.6853,8.029
970211 0505,2484,87.4879,7.0981
970211 0510,2988,85.7992,8.7064
970211 0515,3240,82.2444,9.8487
970211 0520,2412,86.7114,6.9541
970211 0525,3096,84.7132,9.1367
970211 0530,2700,88.0133,7.6693
970211 0535,3312,85.4022,9.6953
970211 0540,3456,87.1528,9.9136
970211 0545,3180,88.3962,8.9936
970211 0550,3120,90.6,8.6093
970211 0555,3120,90.6,8.6093
970211 0600,2232,93.7097,5.9546
970211 0605,2352,90.4847,6.4983
970211 0610,2028,90.0178,5.6322
970211 0615,2280,90.2105,6.3186
970211 0620,2160,88.6167,6.0937
970211 0625,2352,90.4694,6.4994
970211 0630,2412,90.7612,6.6438
970211 0635,2388,92.9146,6.4253
970211 0640,2688,92.1964,7.2888
970211 0645,2892,91.6183,7.8914
970211 0650,2592,89.5741,7.2342
970211 0655,2592,89.5741,7.2342
970211 0700,3288,91.2774,9.0055
970211 0705,3420,85.786,9.9667
970211 0710,3024,90.9603,8.3113
970211 0715,3528,91.7721,9.6108
970211 0720,3348,92.0573,9.0922
970211 0725,3216,89.5112,8.9821
970211 0730,3432,92.6224,9.2634
970211 0735,3012,93.9363,8.0161
970211 0740,3264,93.239,8.7517
970211 0745,2772,93.619,7.4023
970211 0750,3060,90.4784,8.4551
970211 0755,3060,90.4784,8.4551
970211 0800,3012,90.7171,8.3005
970211 0805,3036,91.8458,8.2638
970211 0810,3216,91.709,8.7669
970211 0815,3192,91.703,8.702
970211 0820,3240,91.8481,8.8189
970211 0825,3144,92.6794,8.4809
970211 0830,3180,92.7094,8.5752
970211 0835,3360,91.4643,9.1839
970211 0840,3516,89.0307,9.873
970211 0845,3852,91.5327,10.5208
970211 0850,3864,91.0435,10.6103
970211 0855,3864,91.0435,10.6103
970211 0900,3264,90.625,9.0041
970211 0905,3564,88.1077,10.1126
970211 0910,4116,81.7347,12.5895
970211 0915,3576,90.104,9.9219
970211 0920,4368,89.0962,12.2564
970211 0925,4116,89.5598,11.4895
970211 0930,3768,91.1815,10.331
970211 0935,4080,88.0824,11.5801
970211 0940,3600,88.2533,10.1979
970211 0945,4140,86.7449,11.9315
970211 0950,4956,85.2518,14.5334
970211 0955,4956,85.2518,14.5334
970211 1000,4092,87.4457,11.6987
970211 1005,5124,85.6651,14.9536
970211 1010,4524,86.3793,13.0934
970211 1015,5064,78.609,16.105
970211 1020,4728,86.2411,13.7058
970211 1025,4524,84.8249,13.3333
970211 1030,5304,76.0294,17.4406
970211 1035,5520,76.9348,17.9373
970211 1040,5880,84.3245,17.4327
970211 1045,5244,86.9245,15.0821
970211 1050,5304,78.8484,16.8171
970211 1055,5304,78.8484,16.8171
970211 1100,5796,85.3685,16.9735
970211 1105,5868,81.4479,18.0115
970211 1110,5880,81.5653,18.0224
970211 1115,6300,78.7467,20.0008
970211 1120,7044,73.7598,23.8748
970211 1125,6648,81.4061,20.4162
970211 1130,6900,82.2174,20.981
970211 1135,6168,83.4611,18.4757
970211 1140,5988,83.6473,17.8966
970211 1145,5796,84.4389,17.1603
970211 1150,5796,84.9917,17.0487
970211 1155,5796,84.9917,17.0487
970211 1200,6060,84.2,17.9929
970211 1205,5292,86.5669,15.283
970211 1210,5112,87.9507,14.5309
970211 1215,5112,87.3803,14.6257
970211 1220,4968,88.0242,14.1098
970211 1225,4548,88.1689,12.8957
970211 1230,5172,88.2668,14.6488
970211 1235,4812,86.4988,13.9077
970211 1240,5280,86.1477,15.3225
970211 1245,5412,81.3814,16.6254
970211 1250,4992,86.1779,14.4817
970211 1255,4992,86.1779,14.4817
970211 1300,4968,88.0435,14.1067
970211 1305,5088,86.7547,14.662
970211 1310,5604,84.5889,16.5625
970211 1315,6024,82.5896,18.2347
970211 1320,5592,82.2639,16.9941
970211 1325,5928,82.6721,17.9262
970211 1330,6036,83.8052,18.006
970211 1335,5976,82.6305,18.0805
970211 1340,6600,76.8164,21.4798
970211 1345,6072,84.247,18.0184
970211 1350,6420,81.0879,19.7933
970211 1355,6420,81.0879,19.7933
970211 1400,5868,80.3354,18.2609
970211 1405,6264,72.636,21.5596
970211 1410,5892,78.3238,18.8065
970211 1415,5916,78.5274,18.8342
970211 1420,6144,75.9707,20.2183
970211 1425,6012,74,20.3108
970211 1430,5736,72.9686,19.6523
970211 1435,6204,72.9865,21.2505
970211 1440,6324,72.1765,21.9046
970211 1445,6240,73.7615,21.1492
970211 1450,6132,76.7554,19.9725
970211 1455,6132,76.7554,19.9725
970211 1500,6276,71.9885,21.7951
970211 1505,6072,72.3063,20.994
970211 1510,6036,73.2803,20.5922
970211 1515,5784,73.1494,19.7678
970211 1520,6492,69.7024,23.2847
970211 1525,5448,74.8943,18.1856
970211 1530,5916,77.3245,19.1272
970211 1535,5532,76.9978,17.9615
970211 1540,5988,72.6653,20.6013
970211 1545,6288,73.2729,21.454
970211 1550,5844,73.8214,19.791
970211 1555,5844,73.8214,19.791
970211 1600,6060,73.8653,20.5103
970211 1605,6060,74.2871,20.3938
970211 1610,5556,78.5248,17.6887
970211 1615,5640,75.2872,18.7283
970211 1620,6132,74.3425,20.6208
970211 1625,6240,72.7173,21.4529
970211 1630,6264,72.5268,21.592
970211 1635,5832,75.7016,19.2598
970211 1640,5736,74.954,19.1317
970211 1645,5988,73.9659,20.239
970211 1650,5736,73.9477,19.3921
970211 1655,5736,73.9477,19.3921
970211 1700,6180,70.3631,21.9575
970211 1705,5964,69.1268,21.5691
970211 1710,5784,76.4564,18.9127
970211 1715,5736,77.1548,18.586
970211 1720,5508,76.7255,17.9471
970211 1725,5412,75.6874,17.8762
970211 1730,5808,71.5868,20.2831
970211 1735,5832,74.0947,19.6775
970211 1740,5256,70.6758,18.5919
970211 1745,5148,69.0699,18.6333
970211 1750,5364,72.9575,18.3806
970211 1755,5364,72.9575,18.3806
970211 1800,5232,75.2271,17.3874
970211 1805,5076,75.7423,16.7542
970211 1810,4728,76.6294,15.4249
970211 1815,4740,78.8886,15.0212
970211 1820,5208,74.3111,17.5209
970211 1825,4308,76.7103,14.0398
970211 1830,5184,76.8264,16.8692
970211 1835,5424,74.531,18.1938
970211 1840,4716,76.4809,15.4156
970211 1845,4488,78.7861,14.2411
970211 1850,4920,73.261,16.7893
970211 1855,4920,73.261,16.7893
970211 1900,5016,79.6124,15.7513
970211 1905,4956,79.5133,15.5823
970211 1910,4260,78.2986,13.6018
970211 1915,4800,75.7125,15.8494
970211 1920,4212,78.8575,13.3532
970211 1925,4908,76.3863,16.0631
970211 1930,4800,76.6425,15.6571
970211 1935,4920,75.6268,16.2641
970211 1940,4764,77.6196,15.3441
970211 1945,5388,77.1381,17.4622
970211 1950,4716,73.084,16.1321
970211 1955,4716,73.084,16.1321
970211 2000,5316,78.6524,16.8971
970211 2005,5184,73.8843,17.5409
970211 2010,5640,75.566,18.6592
970211 2015,4344,81.3094,13.3564
970211 2020,4716,78.7913,14.9636
970211 2025,5424,72.4381,18.7194
970211 2030,3876,79.4861,12.1908
970211 2035,4236,78.6261,13.4688
970211 2040,5016,77.4378,16.1936
970211 2045,5112,73.6362,17.3556
970211 2050,4860,70.6519,17.197
970211 2055,4860,70.6519,17.197
970211 2100,4464,79.6828,14.0055
970211 2105,4236,82.779,12.7931
970211 2110,4548,80.4222,14.1379
970211 2115,4872,82.4064,14.7804
970211 2120,4008,79.5269,12.5995
970211 2125,4356,80.5262,13.5236
970211 2130,3984,76.503,13.0191
970211 2135,4776,76.4397,15.6202
970211 2140,3720,82.3032,11.2997
970211 2145,4356,78.6061,13.8539
970211 2150,4236,80.0142,13.2352
970211 2155,4236,80.0142,13.2352
970211 2200,4128,81.8983,12.601
970211 2205,4416,80.8234,13.6594
970211 2210,3720,84.1677,11.0494
970211 2215,3804,83.4101,11.4015
970211 2220,4212,77.2194,13.6365
970211 2225,3792,85.212,11.1252
970211 2230,4788,78.6491,15.2195
970211 2235,4056,82.2249,12.332
970211 2240,4572,83.4094,13.7035
970211 2245,4008,84.506,11.8571
970211 2250,3684,83.9218,10.9745
970211 2255,3684,83.9218,10.9745
970211 2300,3732,84.6752,11.0186
970211 2305,2916,85.6049,8.5159
970211 2310,3084,86.8016,8.8823
970211 2315,3312,87.0471,9.5121
970211 2320,3240,86.1704,9.4
970211 2325,2832,85.2119,8.3087
970211 2330,2892,84.9668,8.5092
970211 2335,2748,86.6332,7.93
970211 2340,2904,87.4463,8.3022
970211 2345,2568,89.5888,7.1661
970211 2350,2496,88.9519,7.015
970211 2355,2496,88.9519,7.015
970212 0000,2640,89.05,7.4116
970212 0005,2436,88.4975,6.8815
970212 0010,1992,90.6024,5.4965
970212 0015,2328,87.7165,6.635
970212 0020,2304,89.1354,6.4621
970212 0025,1764,90.1837,4.89
970212 0030,2184,90.5275,6.0313
970212 0035,2016,89.5357,5.629
970212 0040,1692,92.5603,4.57
970212 0045,2052,90.9415,5.641
970212 0050,1884,91.6306,5.1402
970212 0055,1884,91.6306,5.1402
970212 0100,1740,91.5724,4.7503
970212 0105,1800,90.5133,4.9716
970212 0110,1608,89.8955,4.4719
970212 0115,1620,91.3333,4.4343
970212 0120,1560,88.3692,4.4133
970212 0125,1428,90.0336,3.9652
970212 0130,1392,91.4138,3.8069
970212 0135,1356,88.6814,3.8227
970212 0140,1056,89.0795,2.9636
970212 0145,1284,92.6542,3.4645
970212 0150,1080,90.2333,2.9922
970212 0155,1080,90.2333,2.9922
970212 0200,1068,89.1236,2.9958
970212 0205,1212,89.4653,3.3868
970212 0210,984,90.4634,2.7193
970212 0215,780,93.2462,2.0912
970212 0220,1044,94.4023,2.7648
970212 0225,1068,90.2472,2.9585
970212 0230,996,91.9157,2.709
970212 0235,936,90.3718,2.5893
970212 0240,756,94.0317,2.01
970212 0245,720,87.65,2.0536
970212 0250,852,93.8169,2.2704
970212 0255,876,91.8767,2.3836
970212 0300,780,91.7846,2.1245
970212 0305,624,86.6923,1.7995
970212 0310,828,91.3043,2.2671
970212 0315,624,89.7115,1.7389
970212 0320,624,90.6923,1.7201
970212 0325,444,90.0541,1.2326
970212 0330,684,90.4912,1.8897
970212 0335,540,88.7556,1.521
970212 0340,612,89.6667,1.7063
970212 0345,552,89.6304,1.5397
970212 0350,540,88,1.5341
970212 0355,540,88,1.5341
970212 0400,384,90.9063,1.056
970212 0405,552,86.6957,1.5918
970212 0410,336,90.4643,0.9285
970212 0415,624,87.5962,1.7809
970212 0420,504,88.9048,1.4172
970212 0425,672,91.0357,1.8454
970212 0430,396,89.7273,1.1033
970212 0435,768,88.0938,2.1795
970212 0440,408,89.2941,1.1423
970212 0445,684,88.4912,1.9324
970212 0450,744,93.0968,1.9979
970212 0455,744,93.0968,1.9979
970212 0500,576,94.875,1.5178
970212 0505,696,91.8966,1.8934
970212 0510,780,92.0462,2.1185
970212 0515,768,94.1406,2.0395
970212 0520,768,92.7188,2.0708
970212 0525,780,92.8462,2.1002
970212 0530,768,87.0469,2.2057
970212 0535,948,89.5696,2.646
970212 0540,1284,91.1776,3.5206
970212 0545,1416,90.1695,3.9259
970212 0550,1632,90.5956,4.5035
970212 0555,1632,90.5956,4.5035
970212 0600,1308,89.5872,3.6501
970212 0605,1488,88.3065,4.2126
970212 0610,2088,88.2586,5.9144
970212 0615,2400,89.395,6.7118
970212 0620,2832,89.4449,7.9155
970212 0625,2820,88.2766,7.9863
970212 0630,3252,89.1255,9.122
970212 0635,3768,88.2643,10.6725
970212 0640,4164,81.8934,12.7117
970212 0645,5340,81.4764,16.3851
970212 0650,5784,80.8278,17.8899
970212 0655,5784,80.8278,17.8899
970212 0700,6744,74.8363,22.5292
970212 0705,6408,75.0637,21.3419
970212 0710,6816,72.257,23.5825
970212 0715,6912,71.7917,24.0696
970212 0720,6588,69.0346,23.8576
970212 0725,6852,67.8949,25.2302
970212 0730,7056,63.7959,27.6507
970212 0735,7104,63.9679,27.7639
970212 0740,6984,65.311,26.7336
970212 0745,6696,68.0896,24.5853
970212 0750,6972,63.8399,27.3027
970212 0755,6972,63.8399,27.3027
970212 0800,7080,64.6322,27.3857
970212 0805,6792,65.3763,25.9727
970212 0810,6936,64.1038,27.0499
970212 0815,6768,64.7004,26.1513
970212 0820,6972,65.1429,26.7566
970212 0825,6120,63.3784,24.1407
970212 0830,6624,65.6341,25.2308
970212 0835,5964,66.338,22.4758
970212 0840,6624,65.2174,25.392
970212 0845,6312,66.6236,23.6853
970212 0850,7020,66.2137,26.5051
970212 0855,7020,66.2137,26.5051
970212 0900,6168,68.3366,22.5648
970212 0905,5616,73.1496,19.1936
970212 0910,5460,76.3099,17.8876
970212 0915,5304,73.6606,18.0015
970212 0920,4476,76.9866,14.535
970212 0925,5280,77.5227,17.0273
970212 0930,4392,78.2049,14.04
970212 0935,4980,71.8916,17.3177
970212 0940,4524,77.8674,14.5247
970212 0945,4800,75.89,15.8124
970212 0950,4884,74.4226,16.4063
970212 0955,4884,74.4226,16.4063
970212 1000,4620,77.9143,14.824
970212 1005,4500,77.7707,14.4656
970212 1010,4896,75.1569,16.2859
970212 1015,4416,84.1685,13.1165
970212 1020,4188,80.0917,13.0725
970212 1025,4284,83.591,12.8124
970212 1030,4704,75.9031,15.4934
970212 1035,4932,77.1825,15.9751
970212 1040,5400,76.24,17.7072
970212 1045,5220,75.5402,17.2756
970212 1050,4896,73.2647,16.7065
970212 1055,4896,73.2647,16.7065
970212 1100,3900,82.4308,11.8281
970212 1105,4572,82.3727,13.876
970212 1110,4380,82.0438,13.3465
970212 1115,5124,83.7939,15.2875
970212 1120,4680,84.4795,13.8495
970212 1125,4944,71.733,17.2306
970212 1130,4776,76.809,15.545
970212 1135,5112,79.1596,16.1446
970212 1140,4968,75.2319,16.509
970212 1145,4740,83.3215,14.222
970212 1150,4776,79.593,15.0013
970212 1155,4776,79.593,15.0013
970212 1200,4212,83.4387,12.62
970212 1205,4524,81.5995,13.8604
970212 1210,4632,72.4922,15.9741
970212 1215,4752,77.101,15.4084
970212 1220,4380,70.3534,15.5643
970212 1225,4380,82.4685,13.2778
970212 1230,4620,84.7065,13.6353
970212 1235,4932,79.9173,15.4285
970212 1240,4212,80.8319,13.027
970212 1245,4800,82.385,14.5658
970212 1250,5028,77.6706,16.1837
970212 1255,5028,77.6706,16.1837
970212 1300,5004,75,16.68
970212 1305,4332,74.6759,14.5027
970212 1310,4992,80.0841,15.5836
970212 1315,4992,78.3438,15.9298
970212 1320,4716,74.0458,15.9226
970212 1325,5340,77.2449,17.2827
970212 1330,4704,77.6403,15.1468
970212 1335,5100,72.1082,17.6818
970212 1340,5628,71.7505,19.6096
970212 1345,5064,74.263,17.0475
970212 1350,4920,64.6683,19.0201
970212 1355,4920,64.6683,19.0201
970212 1400,5616,71.735,19.572
970212 1405,5556,73.6631,18.8561
970212 1410,5316,76.2754,17.4237
970212 1415,5304,74.2489,17.8589
970212 1420,5760,72.0917,19.9746
970212 1425,5292,70.8753,18.6666
970212 1430,5604,71.3019,19.6488
970212 1435,5460,76.6637,17.805
970212 1440,5292,74.5873,17.7376
970212 1445,5880,74.4898,19.7342
970212 1450,5316,72.9029,18.2297
970212 1455,5316,72.9029,18.2297
970212 1500,5364,75.8971,17.6687
970212 1505,5760,72.6146,19.8307
970212 1510,5028,75.6253,16.6214
970212 1515,5532,74.102,18.6635
970212 1520,5604,78.1884,17.9183
970212 1525,6264,72.6015,21.5698
970212 1530,5640,74.483,18.9305
970212 1535,5616,74.9808,18.7248
970212 1540,5520,77.0587,17.9084
970212 1545,5400,73.16,18.4527
970212 1550,4836,71.1166,17.0002
970212 1555,4836,71.1166,17.0002
970212 1600,5292,78.6531,16.8207
970212 1605,5592,72.8262,19.1964
970212 1610,5448,74.9009,18.184
970212 1615,5088,76.6698,16.5906
970212 1620,5856,74.4549,19.6629
970212 1625,5448,74.6982,18.2334
970212 1630,5520,76.0457,18.147
970212 1635,5508,77.4357,17.7825
970212 1640,5268,72.9567,18.0518
970212 1645,5640,72.8553,19.3534
970212 1650,5484,72.2144,18.9851
970212 1655,5484,72.2144,18.9851
970212 1700,6000,73.28,20.4694
970212 1705,6240,71.0596,21.9534
970212 1710,5436,78.3775,17.3392
970212 1715,5268,79.9226,16.4785
970212 1720,5916,76.2028,19.4087
970212 1725,5820,73.2392,19.8664
970212 1730,6168,74.3405,20.7424
970212 1735,5484,71.5821,19.1528
970212 1740,5196,73.2864,17.725
970212 1745,5796,71.2484,20.3373
970212 1750,5688,76.6941,18.5412
970212 1755,5688,76.6941,18.5412
970212 1800,5388,75.8352,17.7622
970212 1805,5496,74.4148,18.4641
970212 1810,5580,75.1785,18.5558
970212 1815,5004,74.729,16.7405
970212 1820,5220,73.6414,17.721
970212 1825,4908,76.8484,15.9665
970212 1830,4668,74.7789,15.606
970212 1835,4848,79.8564,15.1772
970212 1840,4944,72.7888,16.9806
970212 1845,4776,75.6407,15.7852
970212 1850,4980,76.0434,16.3722
970212 1855,4980,76.0434,16.3722
970212 1900,5388,71.8174,18.7559
970212 1905,4968,80.2005,15.4862
970212 1910,3924,82.9419,11.8276
970212 1915,4452,77.9838,14.2722
970212 1920,4248,78.0706,13.6031
970212 1925,4212,75.3818,13.9689
970212 1930,3960,77.1333,12.8349
970212 1935,4080,84.1235,12.125
970212 1940,3084,84.7354,9.0989
970212 1945,3828,81.6144,11.7259
970212 1950,3936,77.9848,12.6179
970212 1955,3936,77.9848,12.6179
970212 2000,4320,74.3861,14.5188
970212 2005,4128,83.564,12.3498
970212 2010,4104,79.2339,12.949
970212 2015,4536,77.6481,14.6043
970212 2020,3600,77.5933,11.5989
970212 2025,3888,81.0401,11.9941
970212 2030,3948,76.3131,12.9336
970212 2035,4488,75.8957,14.7834
970212 2040,3480,84.469,10.2996
970212 2045,3828,81.4514,11.7493
970212 2050,3960,78.5576,12.6022
970212 2055,3960,78.5576,12.6022
970212 2100,4344,76.5746,14.1823
970212 2105,3912,85.5613,11.4304
970212 2110,3564,82.5522,10.7932
970212 2115,3564,81.0572,10.9922
970212 2120,3420,79.2281,10.7916
970212 2125,3120,80.5577,9.6825
970212 2130,3792,81.9684,11.5654
970212 2135,3324,83.7329,9.9244
970212 2140,3144,80.916,9.7138
970212 2145,3624,81.2715,11.1478
970212 2150,3072,84.2734,9.1132
970212 2155,3072,84.2734,9.1132
970212 2200,3024,78.5397,9.6257
970212 2205,3108,83.6988,9.2833
970212 2210,3348,83.1685,10.0639
970212 2215,3312,82.2246,10.07
970212 2220,3288,81.2445,10.1176
970212 2225,2904,84.5496,8.5867
970212 2230,3612,82.6113,10.9307
970212 2235,2700,86.4756,7.8057
970212 2240,2688,83.7589,8.023
970212 2245,2700,81.8533,8.2465
970212 2250,2688,85.7991,7.8322
970212 2255,2688,85.7991,7.8322
970212 2300,2388,82.2714,7.2565
970212 2305,2364,81.4315,7.2576
970212 2310,2304,89.7813,6.4156
970212 2315,2124,84.2994,6.299
970212 2320,2304,88.4635,6.5112
970212 2325,1992,89.8313,5.5437
970212 2330,2076,87.2197,5.9505
